crop,pFAO,Kc ini,Kc mid1,Kcmid2,Kcmid3,Kc end,Kcmaxini,Kcmaxmid,Kcmaxend,Lini,Ldev,Lmid1,Lmid2,Lmid3,Lend,Zr(ini),Zr(mid),Zr(max),h_crop(max),Planting,notes
aardappel,0.35,0.15,1.1,1.1,1.1,0.65,1.2,1.2,1.2,30,35,50,0,0,30,30,,60,,april,FAO Europe
asperge,0.45,0.15,0.9,0.9,0.9,0.65,1.2,1.2,1.2,30,30,200,0,0,45,30,,60,,,
bataat,0.65,0.15,1.1,1.1,1.1,0.55,1.2,1.2,1.2,20,30,30,30,0,40,30,,60,,,
bloemkool,0.45,0.15,0.95,0.95,0.95,0.85,1.2,1.2,1.2,35,50,20,20,0,15,30,,40,,,
bonen,0.45,0.15,1,1,1,0.8,1.2,1.2,1.2,20,30,20,10,0,10,30,,50,,,
boon,0.45,0.15,1,1,1,0.8,1.2,1.2,1.2,20,30,20,10,0,10,30,,50,,,
courgette,0.5,0.15,0.9,0.9,0.9,0.7,1.2,1.2,1.2,20,30,25,0,0,15,30,,60,,,
erwt,0.35,0.15,1.1,1.1,1.1,1.05,1.2,1.2,1.2,15,25,25,10,0,15,30,,60,,,
erwten,0.35,0.15,1.1,1.1,1.1,1.05,1.2,1.2,1.2,15,25,25,10,0,15,30,,60,,,
framboos,0.5,0.2,1,1,1,0.4,1.2,1.2,1.2,20,50,50,25,0,60,30,,60,,,FAO berries / bushes
groene selder,0.2,0.15,0.95,0.95,0.95,0.9,1.2,1.2,1.2,25,40,25,20,0,15,30,,50,60,,FAO waarden selder
pompoen,0.35,0.15,0.95,0.95,0.95,0.7,1.2,1.2,1.2,25,35,25,10,0,25,30,,60,,,
prei,0.3,0.15,0.9,0.9,0.9,0.9,1.2,1.2,1.2,20,30,30,30,,40,30,,40,,,prei=garlic/lentils
schorseneer,0.35,0.15,0.95,0.95,0.95,0.85,1.2,1.2,1.2,30,40,40,20,0,20,30,,50,,,Niet FAO; ~wortelen?
selder,0.2,0.15,0.95,0.95,0.95,0.9,1.2,1.2,1.2,25,40,25,20,0,15,30,,50,60,,FAO waarden
selder BDB,0.2,0.3,1.1,1.1,1.1,1.1,1.2,1.2,1.2,25,40,30,0,0,16,30,,30,60,,"BDB waarden, pF 2.7 kritisch"
sla,0.3,0.15,0.9,0.9,0.9,0.9,1.2,1.2,1.2,20,30,15,0,0,15,30,,30,,april,
snijbonen,0.45,0.15,1,1,1,0.8,1.2,1.2,1.2,20,30,20,10,0,10,30,,50,,,
spruiten,0.45,0.15,0.95,0.95,0.95,0.85,1.2,1.2,1.2,20,30,20,0,0,30,30,,40,,april-mei,FAO waarden
suikerbiet,0.55,0.15,1.15,1.15,1.15,0.8,1.2,1.2,1.2,25,35,50,0,0,50,30,,60,,mei,FAO Mediterranean
ui,0.3,0.15,0.95,0.95,0.95,0.65,1.2,1.2,1.2,15,25,40,30,0,40,30,,40,,,
zaaiui,0.3,0.15,0.95,0.95,0.95,0.65,1.2,1.2,1.2,15,25,40,30,0,40,30,,40,,,eigenlijk zou transpiratie in het begin 0 moeten zijn zoals witloofopkomst
venkel,0.45,0.15,0.9,0.9,0.9,0.65,1.2,1.2,1.2,30,30,200,0,0,45,30,,60,,,"venkel=asparagus (perennial)
aanhogen ~ 10cm meer"
witloof,0.3,0.15,0.85,0.85,0.85,0.75,1.2,1.2,1.2,20,10,15,15,15,50,30,,40,,,zelf aangepast
witloof_opkomst,0.3,0,0.85,0.85,0.85,0.75,1.2,1.2,1.2,30,0,0,0,0,0,30,,30,,,zelf aangepast
witloof_radijs,0.3,0.15,0.85,0.85,0.85,0.75,1.2,1.2,1.2,20,10,15,0,0,5,30,,40,,,witloof=radish
witte selder,0.2,0.15,0.95,0.95,0.95,0.9,1.2,1.2,1.2,25,40,25,20,0,15,30,,50,60,,FAO waarden selder
wortelen,0.35,0.15,0.95,0.95,0.95,0.85,1.2,1.2,1.2,30,40,40,20,0,20,30,,50,,,
zoete aardappel,0.65,0.15,1.1,1.1,1.1,0.55,1.2,1.2,1.2,20,30,60,0,0,40,30,,60,,,"FAO waarden; wortelen wel diep, tot 1-1.5m
Kcmax warden zelf ingevuld"
